NAME           STD.CARD   ACA.CARD
ikj            null       5665
aeh            2000       5667
cca            null       5669
leb            2006       5671
laf            2009       5673
kfd            2012       5675
bmm            2015       5677
jkj            2018       5679
dal            2021       5681
egf            2024       5683
aek            2027       5685
cge            2030       5687
dka            2033       5689
efa            2036       5691
bje            2039       5693
efj            2042       5695
fii            2045       5697
idm            2048       5699
ilc            null       5701
ecg            2054       5703
lbj            2057       5705
agl            null       5707
mkg            2063       5709
bjb            null       5711
kkb            2069       5713
ble            2072       5715
dgg            2075       5717
jhl            2078       5719
cma            2081       5721
fea            null       5723
egm            2087       5725
hfm            2090       5727
bmb            null       5729
efe            2096       5731
bbk            null       5733
iff            2102       5735
hid            2105       5737
aej            2108       5739
ibj            2111       5741
hdl            2114       5743
ikb            2117       5745
mbh            2120       5747
bbm            null       5749
jdd            2126       5751
fjk            2129       5753
clc            null       5755
bbg            2135       5757
mem            2138       5759
idc            2141       5761
gml            2144       5763
lhd            2147       5765
dfd            2150       5767
lfd            2153       5769
mda            2156       5771
emf            null       5773
kgm            2162       5775
bcd            null       5777
dac            2168       5779
jll            2171       5781
khg            2174       5783
clb            2177       5785
mcc            2180       5787
kfc            2183       5789
hcb            2186       5791
lah            2189       5793
gce            null       5795
mil            2195       5797
amm            2198       5799
bjl            2201       5801
cbl            2204       5803
ala            2207       5805
bjb            2210       5807
hhf            2213       5809
cdk            null       5811
mmb            2219       5813
clj            null       5815
edk            2225       5817
hfi            null       5819
ajj            2231       5821
hci            null       5823
cgg            2237       5825
bim            null       5827
egm            2243       5829
gie            null       5831
lak            2249       5833
acf            null       5835
ccj            2255       5837
ieb            null       5839
ehf            2261       5841
mam            2264       5843
ald            2267       5845
lkb            2270       5847
jbk            null       5849
hal            2276       5851
ejf            null       5853
jbi            null       5855
cme            2285       5857
afc            null       5859
bck            2291       5861
ldh            2294       5863
cba            2297       5865
fie            2300       5867
lfe            2303       5869
djd            null       5871
fmg            null       5873
ljc            2312       5875
dgd            null       5877
ile            null       5879
cag            2321       5881
gmj            null       5883
gii            2327       5885
jmc            null       5887
iak            2333       5889
fbb            2336       5891
kgl            2339       5893
fif            2342       5895
ibc            2345       5897
kfb            2348       5899
ffi            2351       5901
jbi            null       5903
hhi            2357       5905
ahc            2360       5907
eka            2363       5909
hmh            null       5911
ihc            2369       5913
ifm            null       5915
fcg            2375       5917
hid            2378       5919
gcm            2381       5921
amd            null       5923
fld            2387       5925
jhl            null       5927
jai            2393       5929
geh            2396       5931
clg            null       5933
mdc            2402       5935
lfi            2405       5937
afh            null       5939
aka            2411       5941
khk            2414       5943
mfg            null       5945
eha            2420       5947
lgi            2423       5949
gkb            null       5951
mga            2429       5953
akg            2432       5955
igi            2435       5957
bjg            2438       5959
bga            2441       5961
ecd            null       5963
mci            null       5965
ema            null       5967
bhi            null       5969
ggb            null       5971
dgk            null       5973
mdb            2462       5975
icl            2465       5977
bld            null       5979
gki            2471       5981
dbf            2474       5983
igc            null       5985
ggd            2480       5987
faa            null       5989
kkj            2486       5991
mbl            2489       5993
hcf            null       5995
jfg            2495       5997
hla            2498       5999
kkl            null       6001
bhi            2504       6003
mig            2507       6005
ffi            2510       6007
mim            2513       6009
fdf            null       6011
hmi            null       6013
